Posição_Angular(graus)	Intensidade_rel_(%)
-0,002	11,736
-0,003	11,748
0,000	11,759
0,002	11,761
0,005	11,794
0,005	11,738
0,006	11,743
0,006	11,698
0,006	11,748
0,006	11,714
0,008	11,707
0,008	11,721
0,009	11,740
0,013	11,708
0,027	11,709
0,247	11,692
0,561	11,680
0,881	11,689
1,192	11,665
1,513	11,641
1,879	11,648
2,199	11,639
2,521	11,614
2,956	11,646
3,490	11,647
3,759	11,672
4,163	11,684
4,749	11,705
5,352	11,716
5,977	11,693
6,677	11,730
7,367	11,747
7,928	11,736
8,401	11,799
8,900	11,762
9,483	11,787
10,058	11,819
10,686	11,894
11,443	11,902
12,142	11,979
12,568	12,003
13,020	12,070
13,460	12,152
13,839	12,432
14,257	12,849
14,667	13,293
15,042	13,731
15,427	13,952
16,038	13,771
16,685	13,047
17,371	12,450
18,111	12,069
18,751	12,001
19,255	11,943
19,718	11,980
20,161	11,954
20,705	11,965
21,330	12,001
22,103	12,014
22,909	12,060
23,799	11,968
24,757	11,988
25,679	11,991
26,429	12,016
27,076	12,022
27,610	12,014
28,131	11,990
28,694	11,997
29,347	12,038
30,087	12,031
30,772	12,038
31,276	12,049
31,719	12,092
32,267	12,090
32,982	12,068
33,692	12,079
34,479	12,041
35,343	12,068
36,340	12,082
37,141	12,083
37,819	12,144
38,503	12,100
39,103	12,092
39,754	12,129
40,363	12,122
41,001	12,111
41,689	12,059
42,394	12,105
43,043	12,120
43,703	12,117
44,380	12,128
45,022	12,117
45,745	12,115
46,543	12,127
47,471	12,147
48,340	12,138
48,976	12,145
49,614	12,179
50,339	12,154
51,049	12,117
51,838	12,131
52,721	12,080
53,688	12,106
54,538	12,115
55,316	12,102
56,073	12,142
56,759	12,128
57,370	12,196
58,076	12,186
58,778	12,194
59,444	12,190
60,066	12,166
60,845	12,158
61,874	12,234
62,797	12,197
63,512	12,173
64,005	12,182
64,477	12,190
64,864	12,194
65,416	12,246
66,055	12,259
66,558	12,277
67,065	12,286
67,593	12,289
68,056	12,296
68,463	12,235
68,956	12,312
69,451	12,337
69,891	12,370
70,304	12,366
70,733	12,379
71,091	12,371
71,280	12,332
71,572	12,355
71,965	12,388
72,291	12,331
72,621	12,446
72,960	12,480
73,270	12,630
73,582	14,172
74,005	13,266
74,313	12,766
74,567	12,585
74,847	12,474
75,233	12,428
75,706	12,398
76,325	12,453
77,019	12,471
77,409	12,392
77,665	12,388
77,970	12,375
78,527	12,402
79,226	12,402
79,987	12,467
80,752	12,477
81,528	12,514
82,238	12,458
82,979	12,482
83,811	12,518
84,803	12,519
85,855	12,509
86,917	12,512
88,020	12,592
88,935	12,529
89,360	12,593
89,487	12,609
89,606	12,593
89,898	12,600
90,062	12,567
90,142	12,625
90,776	12,585
91,741	12,611
