Posição_Angular(graus)	Intensidade_rel_(%)
83,249	14,028
83,249	14,016
83,249	14,047
83,249	13,988
83,249	13,977
83,249	13,989
83,249	14,010
83,249	13,979
83,249	14,008
83,249	14,053
83,249	13,995
83,249	13,996
83,249	14,028
83,249	14,038
83,249	14,042
83,247	14,026
83,247	14,003
83,247	13,966
83,247	13,970
83,247	14,001
83,247	13,903
83,247	13,938
83,247	13,954
83,247	13,886
83,247	13,903
83,247	13,919
83,247	13,874
83,247	13,890
83,247	13,916
83,247	13,890
83,247	13,880
83,247	13,890
83,247	13,858
83,247	13,890
83,247	13,892
83,247	13,887
83,247	13,904
83,247	13,862
83,247	13,857
83,247	13,886
83,247	13,865
83,247	13,876
83,247	13,823
83,247	13,842
83,247	13,870
83,247	13,871
83,247	13,878
83,247	13,876
83,247	13,840
83,247	13,847
83,247	13,870
83,247	13,839
83,247	13,895
83,247	13,827
83,247	13,844
83,247	13,835
83,247	13,834
83,247	13,837
83,247	13,837
83,247	13,826
83,247	13,833
83,247	13,840
83,247	13,824
83,247	13,813
83,247	13,837
83,247	13,824
83,247	13,799
83,247	13,829
83,247	13,823
83,247	13,838
83,247	13,815
83,247	13,832
83,247	13,823
83,247	13,840
83,247	13,864
83,247	13,887
83,247	13,822
83,247	13,845
83,247	13,818
83,247	13,795
83,247	13,789
83,247	13,707
83,247	13,671
83,247	13,695
83,247	13,690
83,247	13,735
83,247	13,702
83,247	13,751
83,247	13,792
83,247	13,773
83,247	13,789
83,247	13,751
83,247	13,816
83,247	13,784
83,247	13,776
83,247	13,752
83,247	13,803
83,247	13,779
83,247	13,787
83,247	13,840
83,247	13,868
83,247	13,779
83,247	13,839
83,247	13,792
83,247	13,801
83,247	13,807
83,246	13,822
83,246	13,800
83,246	13,794
83,246	13,769
83,246	13,795
83,246	13,747
83,246	13,739
83,246	13,749
83,246	13,762
83,246	13,708
83,246	13,708
83,246	13,667
83,246	13,661
83,246	13,625
83,246	13,645
83,246	13,612
83,246	13,608
83,246	13,610
83,246	13,608
83,246	13,613
83,246	13,565
83,246	13,569
83,246	13,585
83,246	13,504
83,246	13,580
83,246	13,543
83,246	13,615
83,246	13,570
83,246	13,541
83,246	13,543
83,246	13,576
83,246	13,579
83,246	13,595
83,246	13,616
83,246	13,605
83,246	13,644
83,246	13,616
83,246	13,606
83,246	13,613
83,246	13,619
83,246	13,630
83,246	13,596
83,246	13,601
83,246	13,545
83,246	13,543
83,246	13,502
83,246	13,527
83,246	13,481
83,246	13,465
83,246	13,490
83,246	13,459
83,246	13,437
83,246	13,524
83,246	13,512
83,246	13,523
83,246	13,504
83,246	13,533
83,246	13,507
83,246	13,478
83,246	13,558
83,246	13,589
83,246	13,549
83,246	13,549
83,246	13,522
83,246	13,560
83,246	13,586
83,246	13,557
83,246	13,553
83,246	13,576
83,246	13,542
83,246	13,569
83,246	13,507
83,246	13,507
83,246	13,547
83,246	13,509
83,246	13,463
83,246	13,462
83,246	13,480
83,246	13,466
83,246	13,414
83,246	13,437
83,246	13,471
83,246	13,445
83,246	13,438
83,246	13,437
83,246	13,490
83,246	13,463
83,246	13,450
83,246	13,468
83,246	13,465
83,246	13,457
83,246	13,469
83,246	13,497
83,246	13,508
83,246	13,446
83,246	13,486
83,246	13,507
83,246	13,479
83,246	13,427
83,246	13,381
83,246	13,385
83,246	13,348
83,246	13,297
83,246	13,360
83,246	13,370
83,246	13,342
83,246	13,337
83,246	13,382
83,246	13,330
83,246	13,310
83,246	13,286
83,246	13,329
83,246	13,345
83,246	13,378
83,246	13,330
83,246	13,340
83,246	13,298
83,246	13,291
83,246	13,303
83,246	13,306
83,246	13,301
83,246	13,299
83,246	13,256
83,246	13,246
83,246	13,255
83,246	13,245
83,246	13,234
83,246	13,250
83,246	13,266
83,246	13,211
83,246	13,228
83,246	13,238
83,246	13,216
83,246	13,159
83,246	13,186
83,246	13,231
83,246	13,191
83,246	13,247
83,246	13,264
83,246	13,276
83,246	13,174
83,246	13,206
83,246	13,160
83,246	13,160
83,246	13,105
83,246	12,937
83,246	12,976
83,246	12,991
83,246	12,954
83,246	12,974
83,246	12,949
83,246	12,928
83,246	12,960
83,246	12,891
83,246	12,893
83,244	12,871
83,244	12,878
83,244	12,864
83,244	12,833
83,244	12,891
83,244	12,836
83,244	12,811
83,244	12,803
83,244	12,797
83,244	12,813
83,244	12,781
83,244	12,810
83,244	12,869
83,244	12,849
83,244	12,844
83,244	12,849
83,244	12,812
83,244	12,806
83,244	12,768
83,244	12,816
83,244	12,773
83,244	12,771
83,244	12,748
83,244	12,759
83,244	12,770
83,244	12,759
83,244	12,739
83,244	12,691
83,244	12,758
83,244	12,738
83,244	12,387
83,244	12,413
83,244	12,415
83,244	12,383
83,244	12,382
83,244	12,382
83,244	12,342
83,244	12,436
83,244	12,424
83,244	12,399
83,244	12,366
83,244	12,359
83,244	12,364
83,244	12,310
83,244	12,346
83,244	12,352
83,244	12,348
83,244	12,321
83,244	12,269
83,244	12,267
83,244	12,272
83,244	12,264
83,244	12,251
83,244	12,207
83,244	12,206
83,244	12,196
83,244	12,197
83,244	12,173
83,244	12,133
83,244	12,176
83,244	12,131
83,244	12,129
83,244	12,109
83,244	12,138
83,244	12,101
83,244	12,112
83,244	12,115
83,244	12,057
83,244	12,073
83,244	12,081
83,244	12,068
83,244	12,118
83,244	12,005
83,244	11,972
83,244	12,001
83,244	11,933
83,244	11,978
83,244	11,968
83,244	11,966
83,244	11,943
