Posição_Angular(graus)	Intensidade_rel_(%)
0,000	0,001
0,000	17,155
0,000	17,167
0,000	17,170
0,000	17,226
0,000	17,180
0,000	17,210
0,000	17,211
0,000	17,179
0,000	17,182
0,000	17,219
0,000	17,171
0,000	17,199
0,000	17,213
0,000	17,194
0,000	17,170
0,000	17,186
0,000	17,148
0,000	17,185
0,000	17,174
0,000	17,187
0,000	17,131
0,000	17,148
0,000	17,143
0,000	17,145
0,000	17,106
0,000	17,140
0,002	17,144
0,002	17,187
0,005	17,161
0,031	17,159
0,415	17,123
1,150	17,174
1,839	17,197
2,290	17,185
2,612	17,226
2,923	17,257
3,332	17,268
3,806	17,304
4,408	17,323
5,148	17,351
5,790	17,380
6,362	17,415
6,896	17,421
7,430	17,418
7,912	17,415
8,375	17,403
8,705	17,361
8,988	17,405
9,287	17,396
9,580	17,410
9,891	17,459
10,227	17,501
10,557	17,452
10,945	17,520
11,358	17,538
11,706	17,577
12,125	17,651
12,712	17,776
13,243	18,026
13,719	18,450
14,283	18,911
14,910	18,859
15,519	18,247
16,401	17,749
17,690	17,638
18,755	17,575
19,445	17,544
19,809	17,498
20,120	17,494
20,953	17,529
22,035	17,522
23,223	17,533
24,014	17,497
24,388	17,511
24,699	17,482
24,889	17,480
25,040	17,510
25,244	17,471
25,433	17,497
25,775	17,482
26,267	17,491
26,675	17,454
26,958	17,397
27,183	17,421
27,426	17,452
27,789	17,402
28,273	17,374
28,860	17,364
29,484	17,337
30,195	17,300
30,890	17,297
31,350	17,337
31,537	17,296
31,672	17,267
31,823	17,317
32,109	17,265
32,418	17,246
32,743	17,238
33,149	17,232
33,598	17,227
34,088	17,210
34,495	17,234
34,803	17,220
35,319	17,176
36,056	17,194
36,678	17,130
37,223	17,113
37,699	17,113
38,208	17,084
38,704	17,057
39,179	17,045
39,656	17,070
40,098	17,074
40,553	17,054
40,981	17,053
41,485	17,037
42,096	17,043
42,773	17,012
43,483	17,050
44,179	17,022
44,796	17,019
45,424	16,985
45,980	16,988
46,623	16,942
47,438	16,909
48,278	16,900
49,059	16,862
49,857	16,924
50,515	16,867
51,236	16,886
51,951	16,881
52,743	16,853
53,550	16,830
54,408	16,828
55,449	16,818
56,472	16,816
57,336	16,807
58,145	16,809
58,812	16,772
59,527	16,760
60,287	16,703
61,036	16,724
61,816	16,748
62,639	16,674
63,523	16,647
64,448	16,615
65,667	16,588
66,834	16,599
67,737	16,599
68,458	16,570
69,238	16,612
70,081	16,527
70,870	16,547
71,523	16,608
72,236	16,777
72,957	17,304
73,499	16,846
73,922	16,628
74,354	16,563
74,995	16,557
75,653	16,555
76,097	16,588
76,545	16,505
76,950	16,542
77,282	16,544
77,640	16,484
78,058	16,455
78,552	16,464
79,072	16,451
79,485	16,451
79,884	16,460
80,199	16,448
80,547	16,490
81,050	16,529
81,479	16,546
81,790	16,564
81,977	16,534
82,256	16,573
82,632	16,529
82,853	16,573
83,070	16,565
83,527	16,564
84,306	16,561
85,008	16,598
85,519	16,592
86,108	16,568
86,603	16,624
86,945	16,616
87,248	16,622
87,580	16,617
87,971	16,617
88,546	16,594
88,967	16,627
89,217	16,621
89,639	16,631
90,316	16,689
91,175	16,693
91,780	16,627
92,179	16,651
92,437	16,693
92,650	16,687
92,985	16,696
93,436	16,669
93,861	16,642
94,411	16,640
94,912	16,655
95,170	16,693
95,176	16,686
95,175	16,698
95,170	16,721
95,168	16,695
95,167	16,717
95,167	16,724
95,167	16,719
95,167	16,734
95,165	16,717
95,165	16,649
95,165	16,652
95,164	16,657
95,164	16,616
95,164	16,570
95,164	16,591
95,164	16,617
95,162	16,597
95,162	16,651
95,162	16,550
95,162	16,554
95,162	16,526
95,162	16,571
95,160	16,547
95,160	16,587
95,160	16,612
95,160	16,588
95,160	16,590
95,160	16,644
95,160	16,594
95,160	16,519
95,160	16,557
95,160	16,550
95,159	16,576
95,159	16,550
95,159	16,547
95,159	16,486
95,159	16,574
95,159	16,577
95,157	16,528
95,157	16,540
95,159	16,468
95,157	16,457
95,157	16,477
95,157	16,430
95,157	16,489
95,157	16,418
95,157	16,476
95,157	16,460
95,157	16,443
95,157	16,467
95,157	16,436
95,157	16,429
95,157	16,418
95,157	16,405
95,157	16,412
95,157	16,389
95,157	16,386
95,157	16,393
95,157	16,380
95,157	16,424
95,157	16,431
95,157	16,381
95,157	16,343
95,157	16,372
95,157	16,356
95,157	16,364
95,156	16,326
95,156	16,335
95,156	16,352
95,156	16,366
95,156	16,379
95,156	16,393
95,156	16,366
95,156	16,328
95,156	16,349
95,156	16,373
95,156	16,347
95,156	16,363
95,156	16,355
95,156	16,370
95,156	16,376
95,156	16,362
95,156	16,395
95,156	16,363
95,156	16,326
95,156	16,368
95,156	16,341
95,156	16,352
95,156	16,360
95,156	16,350
95,156	16,343
95,156	16,316
95,154	16,268
95,154	16,285
95,154	16,254
95,154	16,290
95,154	16,291
95,154	16,269
95,154	16,255
95,154	16,224
95,154	16,245
95,154	16,215
95,154	16,255
95,154	16,301
95,154	16,323
95,154	16,271
95,154	16,289
