Intensidade rel. vsPosição angular, Corrida Nr8
Posição angular ( rad )	Intensidade rel. ( % )
88,007	12,986
88,007	13,026
88,007	13,046
88,007	13,002
88,007	12,998
88,007	13,027
88,007	12,997
88,007	12,968
88,007	13,029
88,007	12,991
88,007	13,014
88,007	13,038
88,007	12,995
88,007	13,022
88,007	13,026
88,007	13,040
88,007	12,986
88,007	12,977
88,007	13,024
88,007	12,949
88,007	12,957
88,007	12,984
88,007	13,007
88,007	13,006
88,007	12,981
88,007	13,012
88,007	13,007
88,007	13,036
88,007	13,076
88,007	13,042
88,007	13,061
88,007	13,071
88,007	13,053
88,007	13,039
88,007	13,018
88,007	13,036
88,007	13,056
88,007	13,041
88,007	13,019
88,007	13,041
88,005	13,053
88,005	13,047
88,005	13,057
88,005	13,027
88,005	13,070
88,005	13,060
88,005	13,051
88,005	13,051
88,005	13,027
88,005	13,037
88,005	13,075
88,005	13,081
88,005	13,020
88,005	13,092
88,005	13,081
88,005	13,073
88,005	13,043
88,005	13,040
88,005	13,011
88,005	13,092
88,005	13,094
88,005	13,076
88,005	13,081
88,005	13,109
88,005	13,109
88,005	13,099
88,005	13,136
88,005	13,059
88,005	13,100
88,005	13,118
88,005	13,116
88,005	13,113
88,005	13,052
88,005	13,045
88,005	13,006
88,005	13,012
88,005	13,000
88,005	12,983
88,005	12,961
88,005	12,989
88,005	13,000
88,005	13,041
88,005	13,013
88,005	13,023
88,005	13,013
88,005	12,964
88,005	12,976
88,005	12,932
88,005	12,944
88,005	12,915
88,005	12,910
88,005	12,902
88,005	12,943
88,005	12,967
88,005	12,973
88,005	13,013
88,005	12,961
88,005	12,999
88,005	12,939
88,005	12,991
88,005	13,018
88,005	12,991
88,005	13,013
88,005	12,998
88,005	12,961
88,005	13,035
88,005	12,954
88,005	12,982
88,005	12,995
88,005	13,001
88,005	12,994
88,005	12,930
88,005	12,977
88,005	12,924
88,005	12,972
88,005	12,975
88,005	12,955
88,005	12,970
88,005	12,957
88,005	12,970
88,005	12,942
88,005	12,897
88,005	12,853
88,005	12,828
88,005	12,831
88,005	12,759
88,004	12,752
88,004	12,781
88,004	12,748
88,004	12,748
88,004	12,724
88,004	12,699
88,004	12,735
88,004	12,711
88,004	12,684
88,004	12,670
88,004	12,678
88,004	12,670
88,004	12,627
88,004	12,648
88,004	12,610
88,004	12,605
88,004	12,672
88,004	12,676
88,004	12,660
88,004	12,592
88,004	12,554
88,004	12,525
88,004	12,495
88,004	12,558
88,004	12,473
88,004	12,474
88,004	12,430
88,004	12,432
88,004	12,436
88,004	12,387
88,004	12,376
88,004	12,388
88,004	12,388
88,004	12,370
88,004	12,368
88,004	12,371
88,004	12,281
88,004	12,332
88,004	12,300
88,004	12,260
88,004	12,315
88,004	12,290
88,004	12,337
88,004	12,353
88,004	12,348
88,004	12,305
88,004	12,305
88,004	12,291
88,004	12,305
88,004	12,275
88,004	12,265
88,004	12,240
88,004	12,229
88,004	12,204
88,004	12,234
88,004	12,235
88,004	12,214
88,004	12,197
88,004	12,166
88,004	12,134
88,004	12,142
88,004	12,127
88,004	12,120
88,004	12,100
88,004	12,110
88,004	12,071
88,004	12,093
88,004	12,023
88,004	12,062
88,004	12,033
88,004	11,994
88,004	12,023
88,004	12,000
88,004	11,963
88,004	12,014
88,004	12,009
88,004	11,954
88,004	11,919
88,004	11,900
88,004	11,926
88,004	11,906
88,004	11,893
88,004	11,871
88,004	11,833
88,004	11,849
88,004	11,827
88,004	11,857
88,004	11,805
88,004	11,785
88,004	11,809
88,004	11,808
88,004	11,827
88,004	11,780
88,004	11,823
88,004	11,817
88,004	11,824
88,004	11,843
88,004	11,799
88,004	11,772
88,004	11,806
88,004	11,797
88,004	11,823
88,004	11,798
88,004	11,767
88,004	11,815
88,005	11,830
88,004	11,799
88,004	11,827
88,004	11,781
88,004	11,826
88,004	11,812
88,004	11,801
88,004	11,813
88,004	11,798
88,004	11,772
88,004	11,758
88,004	11,767
88,004	11,759
88,004	11,739
88,004	11,771
88,004	11,711
88,004	11,708
88,004	11,684
88,004	11,750
88,004	11,706
88,004	11,665
88,004	11,716
88,004	11,730
88,004	11,697
88,004	11,734
88,004	11,725
88,004	11,669
88,004	11,683
88,004	11,715
88,004	11,718
88,004	11,718
88,004	11,709
88,004	11,700
88,004	11,695
88,004	11,650
88,004	11,679
88,004	11,686
88,004	11,651
88,004	11,702
88,004	11,645
88,004	11,660
88,004	11,636
88,004	11,604
88,004	11,616
88,004	11,663
88,004	11,648
88,004	11,661
88,004	11,628
88,004	11,752
88,004	11,778
88,004	11,726
88,004	12,024
88,004	12,043
88,004	12,012
88,004	12,002
88,004	11,992
88,004	11,990
88,004	11,981
88,004	11,988
88,004	11,962
88,004	11,996
88,004	12,032
88,004	12,035
88,004	11,989
88,004	11,936
88,004	11,994
88,004	11,951
88,004	11,967
88,004	11,977
88,004	11,962
88,004	11,958
88,004	11,978
88,004	11,998
88,004	12,006
88,004	11,945
88,004	11,935
88,004	11,949
88,004	11,885
88,004	11,974
88,004	11,926
88,004	11,928
88,004	11,923
88,004	11,916
88,004	11,947
88,004	11,936
88,004	11,895
88,004	11,951
88,004	11,981
88,004	11,929
88,004	11,942
88,004	11,933
88,004	11,893
88,004	11,911
88,004	11,866
88,004	11,897
88,004	11,895
88,004	11,867
88,004	11,857
88,004	11,798
88,004	11,863
88,004	11,806
88,004	11,861
88,004	11,835
88,004	11,835
88,004	11,879
88,004	11,903
88,004	11,836
88,004	11,857
88,004	11,857
88,004	11,826
88,004	11,842
88,004	11,823
88,004	11,773
88,004	11,807
88,004	11,788
88,004	11,822
88,004	11,837
88,004	11,832
88,004	11,768
88,004	11,755
88,004	11,729
88,004	11,755
88,004	11,731
88,004	11,788
88,004	11,701
88,004	11,692
88,004	11,699
88,004	11,675
88,004	11,659
88,004	11,667
88,004	11,659
88,004	11,692
88,004	11,674
88,004	11,672
88,004	11,665
88,004	11,674
88,004	11,660
88,004	11,668
88,004	11,723
88,004	11,665
88,004	11,664
88,002	11,689
88,002	11,711
88,002	11,716
88,002	11,715
87,996	11,698
87,365	11,648
82,816	11,633
75,844	11,622
70,381	11,724
66,575	11,594
62,777	11,544
58,823	11,565
54,931	11,555
50,437	11,499
45,679	11,513
41,510	11,586
38,012	11,640
34,567	11,604
31,144	11,645
27,899	11,655
24,870	11,671
21,953	11,691
18,727	11,688
15,541	11,943
12,712	12,683
9,825	12,054
7,224	11,817
5,003	11,676
3,021	11,677
1,186	11,671
0,693	11,702
0,693	11,695
0,691	11,688
0,691	11,761
0,697	11,735
0,690	11,817
0,690	11,778
0,693	11,816
0,696	11,844
0,691	11,840
0,691	11,873
0,691	11,856
